simulatorType,day,roomId,shortage
dynamic,25,24,0
dynamic,25,25,4
dynamic,25,26,0
dynamic,25,27,0
dynamic,25,28,0
dynamic,25,29,0
dynamic,25,30,0
dynamic,25,31,1
dynamic,25,32,0
dynamic,25,33,0
dynamic,25,34,0
dynamic,25,35,0
dynamic,25,36,0
dynamic,25,37,2
dynamic,25,38,2
dynamic,25,39,2
dynamic,25,40,0
dynamic,25,41,0
dynamic,25,42,2
dynamic,25,43,0
dynamic,25,44,2
dynamic,25,45,0
dynamic,25,46,4
dynamic,25,47,0
dynamic,25,48,0
dynamic,25,49,0
dynamic,25,50,0
dynamic,25,51,0
dynamic,25,52,0
dynamic,25,53,0
dynamic,25,54,0
dynamic,25,55,0
dynamic,25,56,0
dynamic,25,57,0
dynamic,25,58,0
dynamic,25,59,0
dynamic,25,60,0
dynamic,25,61,0
dynamic,25,62,0
dynamic,25,63,3
dynamic,25,64,0
dynamic,25,65,0
dynamic,25,66,0
dynamic,25,67,0
dynamic,25,68,0
dynamic,25,69,0
dynamic,25,70,0
dynamic,25,71,0
dynamic,25,72,2
dynamic,25,73,0
dynamic,25,74,0
dynamic,25,75,0
dynamic,25,76,0
dynamic,25,77,0
dynamic,25,78,0
dynamic,25,79,3
dynamic,25,80,0
dynamic,25,81,0
dynamic,25,82,0
dynamic,25,83,0
dynamic,25,84,1
dynamic,25,85,0
dynamic,25,86,0
dynamic,25,87,0
dynamic,25,88,0
dynamic,25,89,0
dynamic,25,90,0
dynamic,25,91,1
dynamic,25,92,0
dynamic,25,93,0
dynamic,25,94,0
dynamic,25,95,0
dynamic,25,96,0
dynamic,25,97,0
dynamic,25,98,0
dynamic,25,99,0
static,26,0,0
static,26,1,0
static,26,2,0
static,26,3,0
static,26,4,0
static,26,5,0
static,26,6,0
static,26,7,0
static,26,8,0
static,26,9,0
static,26,10,0
static,26,11,0
static,26,12,0
static,26,13,0
static,26,14,0
static,26,15,0
static,26,16,0
static,26,17,0
static,26,18,0
static,26,19,0
static,26,20,0
static,26,21,0
static,26,22,0
static,26,23,1
static,26,24,0
static,26,25,3
static,26,26,0
static,26,27,0
static,26,28,1
static,26,29,1
static,26,30,0
static,26,31,4
static,26,32,0
static,26,33,1
static,26,34,2
static,26,35,2
static,26,36,0
static,26,37,1
static,26,38,4
static,26,39,0
static,26,40,0
static,26,41,0
static,26,42,1
static,26,43,0
static,26,44,7
static,26,45,0
static,26,46,1
static,26,47,0
static,26,48,0
static,26,49,0
static,26,50,0
static,26,51,0
static,26,52,0
static,26,53,0
static,26,54,3
static,26,55,0
static,26,56,1
static,26,57,0
static,26,58,0
static,26,59,2
static,26,60,0
static,26,61,0
static,26,62,0
static,26,63,4
static,26,64,1
static,26,65,0
static,26,66,4
static,26,67,0
static,26,68,0
static,26,69,3
static,26,70,1
static,26,71,3
static,26,72,0
static,26,73,0
static,26,74,2
static,26,75,0
static,26,76,0
static,26,77,0
static,26,78,0
static,26,79,0
static,26,80,2
static,26,81,0
static,26,82,0
static,26,83,1
static,26,84,0
static,26,85,0
static,26,86,0
static,26,87,0
static,26,88,0
static,26,89,0
static,26,90,0
static,26,91,1
static,26,92,0
static,26,93,1
static,26,94,0
static,26,95,0
static,26,96,0
static,26,97,0
static,26,98,0
static,26,99,4
dynamic,26,0,0
dynamic,26,1,0
dynamic,26,2,0
dynamic,26,3,0
dynamic,26,4,0
dynamic,26,5,0
dynamic,26,6,0
dynamic,26,7,0
dynamic,26,8,0
dynamic,26,9,0
dynamic,26,10,0
dynamic,26,11,0
dynamic,26,12,0
dynamic,26,13,0
dynamic,26,14,0
dynamic,26,15,0
dynamic,26,16,0
dynamic,26,17,0
dynamic,26,18,0
dynamic,26,19,0
dynamic,26,20,0
dynamic,26,21,0
dynamic,26,22,0
dynamic,26,23,2
dynamic,26,24,0
dynamic,26,25,3
dynamic,26,26,0
dynamic,26,27,0
dynamic,26,28,0
dynamic,26,29,0
dynamic,26,30,0
dynamic,26,31,0
dynamic,26,32,0
dynamic,26,33,2
dynamic,26,34,0
dynamic,26,35,0
dynamic,26,36,0
dynamic,26,37,1
dynamic,26,38,2
dynamic,26,39,9
dynamic,26,40,0
dynamic,26,41,0
dynamic,26,42,7
dynamic,26,43,1
dynamic,26,44,6
dynamic,26,45,0
dynamic,26,46,1
dynamic,26,47,1
dynamic,26,48,0
dynamic,26,49,0
dynamic,26,50,2
dynamic,26,51,0
dynamic,26,52,0
dynamic,26,53,0
dynamic,26,54,3
dynamic,26,55,0
dynamic,26,56,0
dynamic,26,57,0
dynamic,26,58,1
dynamic,26,59,2
dynamic,26,60,0
dynamic,26,61,0
dynamic,26,62,0
dynamic,26,63,3
dynamic,26,64,0
dynamic,26,65,0
