simulatorType,last_rep_day,day,roomId,roomType,shortage
static,0,2,7,0,5
static,0,2,8,0,0
static,0,2,9,1,0
static,0,2,10,1,0
static,0,2,11,2,0
static,0,2,12,2,0
static,0,2,13,1,0
static,0,2,14,1,0
static,0,2,15,0,0
static,0,2,16,1,0
static,0,2,17,0,0
static,0,2,18,0,0
static,0,2,19,0,0
static,1,2,20,2,0
static,1,2,21,0,0
static,1,2,22,0,0
static,1,2,23,1,0
static,1,2,24,0,0
static,1,2,25,2,0
static,1,2,26,0,0
static,1,2,27,2,0
static,1,2,28,1,0
static,1,2,29,2,0
static,1,2,30,2,0
static,1,2,31,1,0
static,1,2,32,0,0
static,1,2,33,1,0
static,1,2,34,0,0
static,1,2,35,0,0
static,1,2,36,0,0
static,1,2,37,0,0
static,1,2,38,1,0
static,1,2,39,2,0
static,0,2,40,0,0
static,0,2,41,0,0
static,0,2,42,0,0
static,0,2,43,1,0
static,0,2,44,2,0
static,0,2,45,0,1
static,0,2,46,0,4
static,0,2,47,0,1
static,0,2,48,0,0
static,0,2,49,0,0
static,0,2,50,2,0
static,0,2,51,1,2
static,0,2,52,1,0
static,0,2,53,0,0
static,0,2,54,1,0
static,0,2,55,1,0
static,0,2,56,2,0
static,0,2,57,2,0
static,0,2,58,1,0
static,0,2,59,1,0
static,0,2,60,2,0
static,0,2,61,1,0
static,0,2,62,1,0
static,0,2,63,0,0
static,0,2,64,0,0
static,0,2,65,1,0
static,0,2,66,0,2
static,0,2,67,1,0
static,0,2,68,1,0
static,0,2,69,2,0
static,0,2,70,0,2
static,0,2,71,1,0
static,0,2,72,0,0
static,0,2,73,1,0
static,0,2,74,1,0
static,0,2,75,0,0
static,0,2,76,1,0
static,0,2,77,1,0
static,0,2,78,2,0
static,0,2,79,1,0
static,0,2,80,1,0
static,0,2,81,0,3
static,0,2,82,1,1
static,0,2,83,0,0
static,0,2,84,1,0
static,0,2,85,2,0
static,0,2,86,0,3
static,0,2,87,1,0
static,0,2,88,0,0
static,0,2,89,1,0
static,0,2,90,0,1
static,0,2,91,2,0
static,0,2,92,0,0
static,0,2,93,0,0
static,0,2,94,2,0
static,0,2,95,2,0
static,0,2,96,0,1
static,0,2,97,0,0
static,0,2,98,0,0
static,0,2,99,0,2
dynamic,0,2,0,0,0
dynamic,0,2,1,0,1
dynamic,0,2,2,1,0
dynamic,0,2,3,1,0
dynamic,0,2,4,0,0
dynamic,0,2,5,2,0
dynamic,0,2,6,0,4
dynamic,0,2,7,0,1
dynamic,0,2,8,0,0
dynamic,0,2,9,1,0
dynamic,0,2,10,1,0
dynamic,0,2,11,2,0
dynamic,0,2,12,2,0
dynamic,0,2,13,1,0
dynamic,0,2,14,1,0
dynamic,0,2,15,0,0
dynamic,0,2,16,1,0
dynamic,0,2,17,0,0
dynamic,0,2,18,0,0
dynamic,0,2,19,0,2
dynamic,1,2,20,2,0
dynamic,1,2,21,0,0
dynamic,1,2,22,0,0
dynamic,1,2,23,1,0
dynamic,1,2,24,0,0
dynamic,1,2,25,2,0
dynamic,1,2,26,0,0
dynamic,1,2,27,2,0
dynamic,1,2,28,1,0
dynamic,1,2,29,2,0
dynamic,1,2,30,2,0
dynamic,1,2,31,1,0
dynamic,1,2,32,0,0
dynamic,1,2,33,1,0
dynamic,1,2,34,0,0
dynamic,1,2,35,0,0
dynamic,1,2,36,0,0
dynamic,1,2,37,0,0
dynamic,1,2,38,1,0
dynamic,1,2,39,2,0
dynamic,0,2,40,0,0
dynamic,0,2,41,0,1
dynamic,0,2,42,0,1
dynamic,0,2,43,1,0
dynamic,0,2,44,2,0
dynamic,0,2,45,0,0
dynamic,0,2,46,0,2
dynamic,0,2,47,0,1
dynamic,0,2,48,0,4
dynamic,0,2,49,0,2
dynamic,0,2,50,2,0
dynamic,0,2,51,1,0
dynamic,0,2,52,1,0
dynamic,0,2,53,0,1
dynamic,0,2,54,1,0
dynamic,0,2,55,1,0
dynamic,0,2,56,2,0
dynamic,0,2,57,2,0
dynamic,0,2,58,1,0
dynamic,0,2,59,1,0
dynamic,0,2,60,2,0
dynamic,0,2,61,1,0
dynamic,0,2,62,1,0
dynamic,0,2,63,0,2
